m,r,rho,T,P,l,eps,kappa,nabla_ad,nabla,transport
0.49869088046430304,0.26076484570409597,30.706594705717354,13920988.404139964,5.722407643146857e+16,13.009878890387483,5.882646917088774,1.105176409740138,0.39803403427429523,0.33333808891522937,radiative
0.5577108120219846,0.2738422306010344,28.696953731265097,13471255.66785373,5.174866078226458e+16,13.172098102976895,4.743418386273496,1.1363711479908565,0.3980930406649147,0.31999699079889543,radiative
0.6234552519685566,0.28802962816994326,26.531301040197118,12997411.019533442,4.61583997263542e+16,13.316465388360262,3.7495244781113666,1.1701892294129517,0.39814686567216,0.30674402205374457,radiative
0.6619494549835906,0.2962136386240107,25.29859471735249,12731095.097681882,4.3110963987228056e+16,13.386543407810667,3.2686880884242653,1.189557591857325,0.3981733074055283,0.29954824695145,radiative
0.6824596946191374,0.30054973383275346,24.652348091098176,12592163.349120542,4.155081351791863e+16,13.420132204997007,3.0376657479908196,1.1997447421843324,0.39818598553980805,0.2958419662515304,radiative
0.7029699342546841,0.30487392008113057,24.013646881831086,12455020.730210353,4.0033089218590776e+16,13.451343351633765,2.8222276935495,1.2121214789285237,0.39819779433508595,0.2927718672549013,radiative
0.7402282184513057,0.31271054866807635,22.87325032120067,12209788.864517167,3.738052201360099e+16,13.502466952522855,2.466713659784484,1.234617400730872,0.398217304812319,0.2874124837856504,radiative
0.8172279551727772,0.3289091935466137,20.596599456576495,11716901.72162008,3.230022322895573e+16,13.588447089986142,1.8571099575904424,1.2808489083951085,0.39825011389490866,0.276943957114036,radiative
0.8889219606505941,0.3441217033388769,18.572451599268025,11272085.692256691,2.8019648881596292e+16,13.64902942633006,1.4130264726019695,1.323582467314965,0.39827190367308124,0.2676379561443157,radiative
0.9545238539548966,0.3582730917994063,16.79986540154805,10874889.547444768,2.445204758688256e+16,13.691485511849333,1.0899674853553423,1.3623111734586604,0.39828436101084397,0.25922024681888456,radiative
1.0,0.3682732104229036,15.615223402145013,10604308.48016027,2.216223669230409e+16,13.714995693051673,0.904808632662059,1.388824058686839,0.39828853900749994,0.25330285591416624,radiative
1.02199828887373,0.3731801873974297,15.05505872288942,10474700.067508496,2.1106044956877856e+16,13.724877032236199,0.8252115304486854,1.401507802167457,0.3982891493833818,0.25038441300897185,radiative
